"","Pl.no","Treament","Trt_density","Trt.comb","sept_16_density","sept_16_macro","sept_16_detritus","sept_16_zj","GS_length","GS_width","GS_leaves","RGR","epi_shoot_length","epi_shoot_width","epi_shoot_no_blades","chla_shoot_calc","EF_length","EF_width","EF_leaves","EF_density","EF_LAI","Shannon","Abundance","mean_temp","mean_lux"
"1","1","low","control","control_low",23,40,11,1,62.75,0.55,5,3.64522977022977,86.2,0.7,6,310.5681818,69.4833333333333,0.5,5.33333333333333,6,3.55754666666667,0.954403888721259,31,16.133373549884,2868.48352668213
"2","2","low","exp","exp_low",97,0,45,0,79.15,0.6,5.5,3.72608695652174,67.6,0.7,5,245.5,57.2833333333333,0.55,3.5,6,2.117192,0.925887551518081,49,15.7287331887202,4027.12125813449
"3","3","high","control","control_high",163,0,8,1,67.6333333333333,0.666666666666667,3.66666666666667,1.4718430114628,106.5,0.8,4,137.12,74.9263157894737,0.515789473684211,4.15789473684211,19,9.76976062049862,0.864267072120431,80,15.8299287410926,2805.58456057007
"4","4","low","exp","exp_low",70,10,40,0,75.75,0.7,5,4.32421332498381,82.7,0.8,5,61.295,61.9166666666667,0.583333333333333,NA,6,NA,1.10625493332139,37,15.9040829694323,2158.08013100437
"5","5","high","exp","exp_high",72,0,50,0,102.5,0.75,4.5,2.90819105010601,110.4,0.5,6,204.2,100.2,0.557142857142857,4.85714285714286,7,6.07383771428571,1.34840425755375,89,NA,NA
"6","6","high","exp","exp_high",132,0,5,1,100,0.6,5,6.55502392344498,114,0.5,5,494.6,79.8,0.55,4,17,9.550464,1.12987925282602,23,15.8058165548098,1804.47315436242
"7","7","low","exp","exp_low",52,10,20,0,75.1666666666667,0.5,4.33333333333333,6.33574730354391,85.1,0.5,5,12.142,83.34,NA,NA,5,NA,1.24143489768881,22,16.0902735229759,6199.02866520788
"8","8","low","exp","exp_low",56,6,15,1,100.3,0.7,5.5,2.5044831047173,119.1,0.7,5,88.58,107.433333333333,0.7,4.33333333333333,9,9.385376,1.22796683562323,33,15.8686407982262,1800.92572062084
"9","9","low","exp","exp_low",27,4,3,0,88.7,0.6,5.5,3.72251326259947,103.5,0.5,4,180.06,97.16,0.68,3.4,5,3.59414272,1.19549183837776,32,15.8410788288288,1959.18603603604
"10","10","high","control","control_high",86,20,20,0,113.5,0.8,6,3.808,97.3,0.6,5,333.8,97,0.633333333333333,5,3,2.9488,1.54864207327114,45,15.9831480637813,795.774031890661
"11","11","high","control","control_high",52,1,10,1,75.05,0.6,4,3.85145584725537,NA,NA,NA,NA,82.0571428571429,0.631428571428571,5.42857142857143,7,6.30048809795918,1.24878896358684,33,16.0759004424779,4387.16924778761
"12","12","high","exp","exp_high",119,0,50,0,60.5,0.533333333333333,3.66666666666667,6.25514648589684,54,0.7,6,84.16,62.17,0.62,4,10,4.9338112,1.02003137694105,38,15.8604444444444,2032.61668686869
"13","13","high","control","control_high",57,4,18,1,92.6333333333333,0.733333333333333,4.66666666666667,5.01776370035194,110,0.8,5,108.07,87,0.633333333333333,4,12,8.46336,1.2828713154267,146,15.8748670756646,1155.78433537832
"14","14","high","control","control_high",77,0,0,0,100.433333333333,0.666666666666667,5.33333333333333,3.79962751268053,95.4,0.7,6,110.6,82.86,0.62,NA,12,NA,1.12343968317239,136,15.8074691358025,1640.4812345679
"15","15","high","exp","exp_high",68,0,0,0,101.95,0.675,5.25,3.70249052372813,62.1,0.6,5,83.89,109.05,0.7,5.25,4,5.129712,0.948262523561501,93,15.6175869120654,1193.9818609407
"16","16","low","control","control_low",69,0,20,1,62.825,0.65,5.5,4.73741531698911,57.6,0.5,5,23.07,55.3285714285714,0.5,NA,12,NA,0.861042653998579,84,15.6821936758893,2012.13288537549
"17","17","high","control","control_high",45,5,20,0,104,0.8,6,8.58888888888889,120.6,0.9,5,725.3731343,98.0090909090909,0.581818181818182,4.90909090909091,18,16.1241640390684,0.946984490039898,49,NA,NA
"18","18","high","exp","exp_high",56,4,6,0,95.1666666666667,0.566666666666667,4.66666666666667,6.66139999748247,78.4,0.6,4,72.85,90.575,0.5,4.75,4,2.75348,1.23183151669773,68,15.7304590818363,762.866347305389
"19","19","low","control","control_low",43,5,40,1,62.9666666666667,0.566666666666667,5,4.84909665300546,70,0.7,6,333.8,60.95,0.575,5.5,4,2.467256,1.4408560986468,121,16.0275099337748,4951.84922737307
"20","20","low","control","control_low",71,0.1,1,0,64.775,0.7,3.5,2.52513894308908,NA,NA,NA,NA,77.29,0.73,4.5,22,17.87439456,1.25166001084528,142,NA,NA
"21","21","low","control","control_low",35,0,3,0,83.05,0.7,4.5,5.48736592409241,79,0.7,5,338.6333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","22","high","exp","exp_high",44,0,8,0,122.333333333333,0.666666666666667,6.66666666666667,7.43896369903354,127.1,0.6,5,258.6333333,115.866666666667,0.566666666666667,6,8,10.0850346666667,1.28296603093133,133,NA,NA
"23","23","low","control","control_low",49,20,50,1,56.3,0.7,5.33333333333333,4.91455505279035,43.6,0.6,4,40.15,NA,NA,NA,NA,NA,1.11292076640977,41,15.8707692307692,4206.32522682446
"24","24","low","exp","exp_low",57,0,0,0,99.2,0.7,5,14.280701754386,114.4,0.6,5,NA,109.59,0.68,4.4,10,10.49258496,1.32775508600292,135,NA,NA
