"","plot","trt_density","trt","epi_shoot_length","epi_shoot_width","epi_shoot_no_blades","chla_shoot_calc","LA","epi_shoot","Treatment","Trt_density","sept_5_density1","sept_5_density_exp","sept_6_density","sept_6_quadrat","sept_6_zj","sept_6_macro","sept_6_detritus","sept_16_density","sept_16_macro","sept_16_detritus","sept_16_zj","Trt.comb","density_diff"
"1","1","low","control",86.2,0.7,6,310.5681818,362.04,0.857828366478842,"low","control",50,50,29,9,1,35,18,23,40,11,1,"control_low",-6
"2","2","low","exp",67.6,0.7,5,245.5,236.6,1.03761622992392,"low","exp",82,50,56,15,0,1,12,97,0,45,0,"exp_low",41
"3","3","high","control",106.5,0.8,4,137.12,340.8,0.402347417840376,"high","control",105,105,111,33,0,2,5,163,0,8,1,"control_high",52
"4","4","low","exp",82.7,0.8,5,61.295,330.8,0.18529322853688,"low","exp",80,50,48,14,0,3,10,70,10,40,0,"exp_low",22
"5","5","high","exp",110.4,0.5,6,204.2,331.2,0.616545893719807,"high","exp",120,90,101,25,0,0,20,72,0,50,0,"exp_high",-29
"6","6","high","exp",114,0.5,5,494.6,285,1.73543859649123,"high","exp",100,90,49,8,1,5,16,132,0,5,1,"exp_high",83
"7","7","low","exp",85.1,0.5,5,12.142,212.75,0.0570716803760282,"low","exp",90,50,65,13,0,5,10,52,10,20,0,"exp_low",-13
"8","8","low","exp",119.1,0.7,5,88.58,416.85,0.21249850065971,"low","exp",83,50,57,22,1,8,5,56,6,15,1,"exp_low",-1
"9","9","low","exp",103.5,0.5,4,180.06,207,0.869855072463768,"low","exp",88,50,24,8,0,0,5,27,4,3,0,"exp_low",3
"10","10","high","control",97.3,0.6,5,333.8,291.9,1.14354230900994,"high","control",100,120,101,27,0,15,15,86,20,20,0,"control_high",-15
"11","12","high","exp",54,0.7,6,84.16,226.8,0.371075837742504,"high","exp",100,90,78,29,0,0,6,119,0,50,0,"exp_high",41
"12","13","high","control",110,0.8,5,108.07,440,0.245613636363636,"high","control",160,160,NA,NA,NA,NA,NA,57,4,18,1,"control_high",NA
"13","14","high","control",95.4,0.7,6,110.6,400.68,0.276030747728861,"high","control",146,146,112,43,0,0,5,77,0,0,0,"control_high",-35
"14","15","high","exp",62.1,0.6,5,83.89,186.3,0.450295222758991,"high","exp",146,90,54,18,0,5,2,68,0,0,0,"exp_high",14
"15","16","low","control",57.6,0.5,5,23.07,144,0.160208333333333,"low","control",72,72,52,15,0,0,0,69,0,20,1,"control_low",17
"16","17","high","control",120.6,0.9,5,725.3731343,542.7,1.33660057914133,"high","control",120,120,NA,NA,NA,NA,NA,45,5,20,0,"control_high",NA
"17","18","high","exp",78.4,0.6,4,72.85,188.16,0.387170493197279,"high","exp",100,90,101,27,0,0,20,56,4,6,0,"exp_high",-45
"18","19","low","control",70,0.7,6,333.8,294,1.13537414965986,"low","control",32,32,26,8,0,12,2,43,5,40,1,"control_low",17
"19","21","low","control",79,0.7,5,338.6333333,276.5,1.22471368282098,"low","control",40,40,38,10,1,0,5,35,0,3,0,"control_low",-3
"20","22","high","exp",127.1,0.6,5,258.6333333,381.3,0.6782935570417,"high","exp",136,90,53,15,0,0,5,44,0,8,0,"exp_high",-9
"21","23","low","control",43.6,0.6,4,40.15,104.64,0.383696483180428,"low","control",48,48,45,11,0,0,10,49,20,50,1,"control_low",4
"22","24","low","exp",114.4,0.6,5,NA,343.2,NA,"low","exp",92,50,54,12,0,0,0,57,0,0,0,"exp_low",3
