"","plot","mean_temp","min_temp","max_temp","sd_temp","mean_lux","min_lux","max_lux","sd_lux","n_obs"
"1","1",16.133373549884,11.916,27.37,1.81658763982342,2868.48352668213,10.8,63378.2,8335.40681780217,431
"2","2",15.7287331887202,12.11,24.835,1.33203627070852,4027.12125813449,10.8,99200.7,9323.53087244168,461
"3","3",15.8299287410926,12.11,26.097,1.52798372892595,2805.58456057007,10.8,99200.7,10121.7616895937,421
"4","4",15.9040829694323,12.207,21.569,1.25408186475874,2158.08013100437,10.8,26178,3207.21358887416,458
"5","6",15.8058165548098,12.207,21.282,1.23534180466143,1804.47315436242,10.8,22044.6,3170.61139922304,447
"6","7",16.0902735229759,11.916,27.961,1.79976127121195,6199.02866520788,10.8,187379,22051.5193604457,457
"7","8",15.8686407982262,12.013,24.738,1.5829527793963,1800.92572062084,10.8,38578,4237.09337214968,451
"8","9",15.8410788288288,12.207,23.966,1.26718989353515,1959.18603603604,10.8,68889.3,5231.0668532562,444
"9","10",15.9831480637813,12.207,21.664,1.32657137060723,795.774031890661,10.8,21355.7,2167.96167317508,439
"10","11",16.0759004424779,12.304,23.773,1.45554505644874,4387.16924778761,10.8,176356.7,16060.219266981,452
"11","12",15.8604444444444,12.18,23.55,1.28194777018024,2032.61668686869,0.21,18088.96,2060.3682637018,495
"12","13",15.8748670756646,12.4,21.32,1.16489693517924,1155.78433537832,0.2,15585.28,1547.38630681589,489
"13","14",15.8074691358025,12.44,24.88,1.20733308127812,1640.4812345679,0.21,40949.76,3187.47582706399,486
"14","15",15.6175869120654,12.18,23.25,1.19918735509312,1193.9818609407,0.22,24913.92,1966.44154143362,489
"15","16",15.6821936758893,12.31,21.79,1.17576237329444,2012.13288537549,0.18,16230.4,2587.17354527375,506
"16","18",15.7304590818363,12.44,21.19,1.10988773703576,762.866347305389,0.21,6737.92,930.035251111285,501
"17","19",16.0275099337748,12.594,22.238,1.21242532039456,4951.84922737307,10.8,93689.5,11705.411744312,453
"18","23",15.8707692307692,12.1,28.65,1.5928349946426,4206.32522682446,0.2,64348.16,7189.28209944163,507
